id;gen;sp;ssp;group;en;rec;cnt;loc;lat;lng;alt;type;sex;stage;method;url;file;file-name;sono;osci;lic;q;length;time;date;uploaded;also;rmk;bird-seen;animal-seen;playback-used;temp;regnr;auto;dvc;mic;smp;secondes;minutes;type_fichier
717438;Gallinula;chloropus;;birds;Common Moorhen;Tristan Guillebot de Nerville;France;Arrondissement de Lorient (near  Plouhinec), Morbihan, Bretagne;47.6848;-3.2649;0;call;;;field recording;//xeno-canto.org/717438;https://xeno-canto.org/717438/download;XC717438-Gallinule_poule_d'eau_cri_étang_de_Kervran_21h20_19_04_2022_for_XC.mp3;{'small': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC717438-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC717438-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC717438-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/ffts/XC717438-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/wave/XC717438-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/wave/XC717438-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HLDLDQFJEA/wave/XC717438-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:08;21:20;2022-04-19;2022-04-23;[];;no;no;no;;;no;;;44100.0;8;0;MP3
928126;Haematopus;ostralegus;;birds;Eurasian Oystercatcher;FREDERIC Lionel;France;Ploubazlanec, Cotes-d'Armor, Bretagne;48.8219;-3.0635;10;call, flight call;uncertain;uncertain;field recording;//xeno-canto.org/928126;https://xeno-canto.org/928126/download;XC928126-HAEOST_cri_vol_240801_Bretagne.mp3;{'small': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928126-small.png', 'med': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928126-med.png', 'large': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928126-large.png', 'full': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928126-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/wave/XC928126-small.png', 'med': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/wave/XC928126-med.png', 'large': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/wave/XC928126-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:09;09:30;2024-08-01;2024-08-19;[];;yes;yes;no;;;no;zoom H5;;44100.0;9;0;MP3
928125;Haematopus;ostralegus;;birds;Eurasian Oystercatcher;FREDERIC Lionel;France;Ploubazlanec, Cotes-d'Armor, Bretagne;48.8219;-3.0635;10;alarm call, flight call;uncertain;uncertain;field recording;//xeno-canto.org/928125;https://xeno-canto.org/928125/download;XC928125-HAEOST_alarme_vol_240801_Bretagne.mp3;{'small': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928125-small.png', 'med': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928125-med.png', 'large': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928125-large.png', 'full': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/ffts/XC928125-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/wave/XC928125-small.png', 'med': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/wave/XC928125-med.png', 'large': '//xeno-canto.org/sounds/uploaded/VJARXMSBTG/wave/XC928125-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:17;09:30;2024-08-01;2024-08-19;[];;yes;yes;no;;;no;zoom H5;;44100.0;17;0;MP3
526522;Haematopus;ostralegus;;birds;Eurasian Oystercatcher;Stanislas Wroza;France;Île-de-Sein, Finistère, Bretagne;48.0372;-4.8622;0;nocturnal flight call;;;field recording;//xeno-canto.org/526522;https://xeno-canto.org/526522/download;XC526522-2019-10-09 Sein Huitrier pie nocmig +.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526522-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526522-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526522-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526522-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC526522-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC526522-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC526522-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:10;01:00;2019-10-09;2020-02-10;[];;no;no;no;;;no;;;44100.0;10;0;MP3
526466;Haematopus;ostralegus;;birds;Eurasian Oystercatcher;Stanislas Wroza;France;Île-de-Sein, Finistère, Bretagne;48.0372;-4.8622;0;call, flight call, short calls;;;field recording;//xeno-canto.org/526466;https://xeno-canto.org/526466/download;XC526466-2019-10-12 Sein Huitrier pie cris courts envol +.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526466-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526466-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526466-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC526466-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC526466-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC526466-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC526466-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:08;09:00;2019-10-12;2020-02-10;[];;yes;yes;no;;;no;;;48000.0;8;0;MP3
707028;Himantopus;himantopus;;birds;Black-winged Stilt;Sonothèque ADVL;France;Cherrueix, Ille-et-Vilaine, Bretagne;48.6066;-1.7222;10;call;;;field recording;//xeno-canto.org/707028;https://xeno-canto.org/707028/download;XC707028-Echasse 7 juin 21 Saint Broladre saline.mp3;{'small': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC707028-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC707028-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC707028-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/ffts/XC707028-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC707028-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC707028-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BJAXFFKOML/wave/XC707028-large.png'};//creativecommons.org/publicdomain/zero/1.0/;A;0:17;12:00;2021-06-07;2022-03-07;[];"Sonothèque des oiseaux de Carolles et de la baie du Mont-Saint-Michel. Association de Défense de la Vallée du Lude et des sites environnants.
Enregistrement Sébastien Provost.";unknown;unknown;unknown;;;no;;;44100.0;17;0;MP3
544380;Himantopus;himantopus;;birds;Black-winged Stilt;Philippe J. DUBOIS;France;Belz, Morbihan, Bretagne;47.661;-3.1838;10;nocturnal flight call;;;field recording;//xeno-canto.org/544380;https://xeno-canto.org/544380/download;XC544380-ECH blanche (2 ind)  - Magourin, Belz-56 - 2020.04.11 - 5h23.mp3;{'small': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC544380-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC544380-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC544380-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/ffts/XC544380-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/wave/XC544380-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/wave/XC544380-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RAJQNYIYPD/wave/XC544380-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:17;05:30;2020-04-11;2020-04-11;[];at least two birds;no;no;no;;;no;;;44100.0;17;0;MP3
944016;Pluvialis;apricaria;;birds;European Golden Plover;Stanislas Wroza;France;Arrondissement de Quimper (near  Cléden-Cap-Sizun), Finistère, Bretagne;48.0586;-4.7053;70;aberrant, nocturnal flight call, very modulated call;;;field recording;//xeno-canto.org/944016;https://xeno-canto.org/944016/download;XC944016-Sun-Oct-27-2024-03-59-33-Pluvier-doré-cri-très-modulé-+.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC944016-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC944016-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC944016-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC944016-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC944016-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC944016-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC944016-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:14;04:00;2024-10-27;2024-10-31;[];;unknown;unknown;unknown;;;unknown;Omnidirectional microphone;Primo EM272;48000.0;14;0;MP3
940833;Pluvialis;apricaria;;birds;European Golden Plover;Stanislas Wroza;France;Arrondissement de Quimper (near  Cléden-Cap-Sizun), Finistère, Bretagne;48.0586;-4.7053;70;flight call, modulated call;;;field recording;//xeno-canto.org/940833;https://xeno-canto.org/940833/download;XC940833-Fri-Oct-11-2024-10_36_29-Pluvier-doré-avec-attaque-+.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC940833-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC940833-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC940833-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC940833-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC940833-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC940833-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC940833-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:18;10:30;2024-10-11;2024-10-15;[];;unknown;unknown;unknown;;;unknown;Omnidirectional microphone;Primo EM272;48000.0;18;0;MP3
589120;Charadrius;hiaticula;;birds;Common Ringed Plover;Stanislas Wroza;France;Île-de-Sein, Finistère, Bretagne;48.0372;-4.8622;0;flight call, grunt, two birds chasing each other;;;field recording;//xeno-canto.org/589120;https://xeno-canto.org/589120/download;XC589120-Grand gravelot gorgnement de poursuite +.mp3;{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC589120-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC589120-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC589120-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC589120-full.png'};{'small': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC589120-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC589120-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SDPCHKOHRH/wave/XC589120-large.png'};//creativecommons.org/licenses/by-nc-sa/4.0/;A;0:06;08:00;2020-09-07;2020-09-17;[];;yes;yes;no;;;no;;;48000.0;6;0;MP3
